Project Name,State ,MW Capacity,Fuel Source,Committed Date (Month/Year)
East Rockingham Resource Recovery Facility,WA,29,Biomass,Dec-19
Mangalore Renewable Energy Project,VIC,5,Solar,Sep-21
Orange Community Renewable Energy Park,NSW,5,Solar,Jul-22
Moorebank Logistics Park,NSW,60,Solar,Sep-22
Wangaratta Solar Farm,VIC,40,Solar,Jul-23
Kidston Pumped Hydro Storage Project,QLD,250,Hydro,Jul-23
New England Solar Farm - Stage 2,NSW,320,Solar,Jul-23
Bellevue Gold Hybrid Power Station (Wind),WA,24,Wind,Sep-23
Glenellen solar project,NSW,200,Solar,Nov-23
Forest Glen Solar Farm,NSW,90,Solar,Dec-23
Uungula Wind Farm,NSW,414,Wind,Jan-24
Munna Creek Solar Farm,QLD,150,Solar,Jan-24
St Ives Gold Solar Farm,WA,77,Wind,Mar-24
Gunsynd Solar Farm,QLD,94,Solar,Mar-24
Aldoga Solar Farm,QLD,380,Solar,Apr-24
Arnotts Huntingwood Solar Project,NSW,4.95,Solar,May-24
Quorn Park Solar Hybrid,NSW,98,Solar,Jun-24
Golden Plains Wind Farm - Stage 2,VIC,574,Wind,Jun-24
Lotus Creek Wind Farm,QLD,285,Wind,Aug-24
Goorambat Solar Farm,VIC,250,Solar,Aug-24
Hay Solar Farm,NSW,7.5,Solar,Sep-24
Broadsound Solar Farm,QLD,376,Solar,Sep-24
Boulder Creek Wind Farm,QLD,228,Wind,Sep-24
Horsham Solar Farm,VIC,118.8,Solar,Nov-24
Carwarp Energy Park,VIC,171,Solar,Dec-24
Goulburn River Solar Farm,NSW,450,Solar,Dec-24
Wambo Wind Farm Stage 2,QLD,254,Wind,Dec-24
Warradarge Wind Farm Stage 2,WA,108,Wind,Dec-24
Bungama Solar Farm (stage 3),SA,280,Solar,Feb-25
Fulham Solar Farm,VIC,80,Solar,Apr-25
Cloudbreak Solar Farm,WA,190,Solar,Apr-25
Port Latta Wind Farm,TAS,25,Wind,Apr-25
Wandoan South Solar Farm (Stage 2),QLD,240,Solar,Apr-25
Lancaster Solar Farm,VIC,106,Solar,Jun-25
Mulwala Solar Farm,NSW,31,Solar,Jun-25
