Project Name,State ,MW Capacity,Fuel Source
Barnawartha Solar Farm,VIC,64,Solar
Barwon solar farm,VIC,250,Solar
Boddington Giga Energy,WA,400,Solar
Bulli Creek Solar project Stage 1,QLD,775,Solar
Bullyard Solar Farm,QLD,100,Solar
Bungaban Wind Farm,QLD,1400,Wind
Byford Solar Project,WA,30,Solar
Campbells Forest Solar Farm,VIC,205,Solar
Coppabella Wind Farm,NSW,284,Wind
Derby Solar Farm & Battery,VIC,95,Solar
Elaine Solar Farm,VIC,125,Solar
Eurimbula Solar Farm,QLD,696,Solar
Frasers Solar Farm,VIC,77,Solar
Ganymirra Solar Power Station,QLD,150,Solar
Glanmire Solar Farm,NSW,60,Solar
Goyder North Wind Farm Stage 1,SA,300,Wind
Hopeland Solar Farm,QLD,250,Solar
Junction Rivers Wind Farm,NSW,585,Wind
Kalbarri Microgrid Project,WA,5,Solar
Kentbruck Green Power Hub,VIC,600,Wind
Kiamal Solar Farm - Stage 2,VIC,150,Solar
Kidston Stage 3 Wind Project,QLD,258,Wind
Lake Wells high renewable energy fraction microgrid -Solar,WA,4.5,Solar
Lake Wells high renewable energy fraction microgrid -Wind,WA,9,Wind
Lakeland Wind Farm,QLD,100,Wind
Majors Creek Solar Farm,QLD,150,Solar
Manilla Community Solar,NSW,4.5,Solar
Mount Hopeful Wind Farm,QLD,350,Wind
Northern Midlands Solar Farm,TAS,288,Solar
Palmer Wind Farm,SA,288,Wind
Planet Ark Power - Schneider Electricity PV and Battery Project,SA,5.7,Solar
Port Augusta Energy Park Stage 2,SA,300,Solar
Sandy Creek Solar Farm,NSW,700,Solar
Sapphire Solar Farm,NSW,200,Solar
Silverleaf Solar Farm,NSW,120,Solar
Smoky Creek and Guthrie's Gap Solar Farm,QLD,600,Solar
Snowtown North Solar Farm,SA,44,Solar
Spicers Creek Wind Farm,NSW,700,Wind
Theodore Wind Farm,QLD,1152,Wind
Thunderbolt Wind Farm stage 1,NSW,230,Wind
Upper Calliope Solar Farm,QLD,1300,Solar
Vales Point Solar Farm,NSW,62,Solar
Valley of the Winds,NSW,936,Wind
Vast Solar Facility - VS1,SA,30,Solar
Walgett Solar Farm,NSW,25,Solar
Waroona Solar Fam,WA,120,Solar
West Mokoan Solar Farm,VIC,300,Solar
Winton North Solar Farm,VIC,100,Solar
Woolsthorpe Wind Farm,VIC,70,Wind
